Book-Title,num_ratings,avg_rating,Book-Author,Image-URL-M
The Bean Trees,192,8.28125,Barbara Kingsolver,http://images.amazon.com/images/P/0060915544.01.MZZZZZZZ.jpg
I Know This Much Is True,106,8.264150943396226,Wally Lamb,http://images.amazon.com/images/P/0060987561.01.MZZZZZZZ.jpg
Two for the Dough,112,8.258928571428571,Janet Evanovich,http://images.amazon.com/images/P/0671001795.01.MZZZZZZZ.jpg
Nickel and Dimed: On (Not) Getting By in America,174,8.258620689655173,Barbara Ehrenreich,http://images.amazon.com/images/P/0805063897.01.MZZZZZZZ.jpg
The Color of Water: A Black Man's Tribute to His White Mother,111,8.252252252252251,James McBride,http://images.amazon.com/images/P/1573225789.01.MZZZZZZZ.jpg
A Walk in the Woods: Rediscovering America on the Appalachian Trail (Official Guides to the Appalachian Trail),106,8.20754716981132,Bill Bryson,http://images.amazon.com/images/P/0767902521.01.MZZZZZZZ.jpg
Lucky : A Memoir,133,8.19548872180451,Alice Sebold,http://images.amazon.com/images/P/0316096199.01.MZZZZZZZ.jpg
The Lovely Bones: A Novel,707,8.185289957567186,Alice Sebold,http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg
The Red Tent (Bestselling Backlist),383,8.182767624020888,Anita Diamant,http://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg
Four Blind Mice,104,8.182692307692308,James Patterson,http://images.amazon.com/images/P/0316693006.01.MZZZZZZZ.jpg
The Alchemist: A Fable About Following Your Dream,126,8.182539682539682,Paulo Coelho,http://images.amazon.com/images/P/0062502174.01.MZZZZZZZ.jpg
The Poisonwood Bible: A Novel,218,8.178899082568808,Barbara Kingsolver,http://images.amazon.com/images/P/0060930535.01.MZZZZZZZ.jpg
Prodigal Summer: A Novel,138,8.159420289855072,Barbara Kingsolver,http://images.amazon.com/images/P/0060959037.01.MZZZZZZZ.jpg
The Joy Luck Club,208,8.153846153846153,Amy Tan,http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg
